athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
tri_db34ae4822d1,Agathe,Claude,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Lenoir-Rhyne,"5'4""",Triathlete,Fr.,Fr,"Metzervisse, France",Metzervisse,,international,Robert Schuman,0,https://lrbears.com/sports/triathlon/roster/2025
tri_25984e513afc,Eva,Cronin,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Lenoir-Rhyne,"5'4""",Triathlete,So.,So,"Hickory, NC",Hickory,NC,domestic,St. Stephens HS,0,https://lrbears.com/sports/triathlon/roster/2025
tri_3728b4843c47,Sabrina,Fleig,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Lenoir-Rhyne,"5'8""",Triathlete,Sr.,Sr,"Konigsbach-Stein, Germany",Konigsbach-Stein,,international,Schiller Gymnasium Pforzheim,0,https://lrbears.com/sports/triathlon/roster/2025
tri_db65f94bfc67,Isis,Gaskin,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Lenoir-Rhyne,"5'8""",Triathlete,So.,So,"St. Michael, Barbados",St. Michael,,international,,0,https://lrbears.com/sports/triathlon/roster/2025
tri_c975d9953039,Kaitlyn,Kirkland,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Lenoir-Rhyne,"5'2""",Triathlete,So.,So,"Apex, N.C.",Apex,NC,domestic,Middle Creek HS,0,https://lrbears.com/sports/triathlon/roster/2025
tri_8e8fcd133ecf,Alex,Linden,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Lenoir-Rhyne,"5'11""",Triathlete,Jr.,Jr,"Houston, TX",Houston,TX,domestic,Friendswood HS,0,https://lrbears.com/sports/triathlon/roster/2025
tri_d9bc6a143ffe,Alessandra,Maso,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Lenoir-Rhyne,,Triathlete,So.,So,"Venice, Italy",Venice,,international,,0,https://lrbears.com/sports/triathlon/roster/2025
tri_213e4f6c0f78,Mariana,Quiroga Giraldo,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Lenoir-Rhyne,"5'2""",Triathlete,Fr.,Fr,Colombia,Colombia,,international,San Luis Gonzaga,0,https://lrbears.com/sports/triathlon/roster/2025
tri_5b805959d620,Kaya,Rankine Beadle,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Lenoir-Rhyne,,Triathlete,So.,So,"Santa Cruz, Trinidad & Tobago",Santa Cruz,,international,St. Augustine Girls' HS,0,https://lrbears.com/sports/triathlon/roster/2025
tri_37a0cf51f02c,Eliska,Rihova,triathlon,2025-26,2025,D2,Women,South Atlantic Conference,Lenoir-Rhyne,"5'6""",Triathlete,Sr.,Sr,"Tabor, Czechia",Tabor,,international,Gymnazium Pierra de Coubertina,0,https://lrbears.com/sports/triathlon/roster/2025
