athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
bw_615547d91809,Madison,Freischlag,bowling,2025-26,2025-26,D3,Women,Northern Athletics Collegiate Conference,Aurora,,Bowler,Jr.,Jr,"Plainfield, Ill.",Plainfield,IL,domestic,Plainfield Central,0,https://athletics.aurora.edu/sports/womens-bowling/roster
bw_810ff8159663,Annie,Honsik,bowling,2025-26,2025-26,D3,Women,Northern Athletics Collegiate Conference,Aurora,,Bowler,So.,So,"Joliet, Ill.",Joliet,IL,domestic,Minooka,0,https://athletics.aurora.edu/sports/womens-bowling/roster
bw_b43bb4d99ad4,Grace,Leonard,bowling,2025-26,2025-26,D3,Women,Northern Athletics Collegiate Conference,Aurora,,Bowler,Jr.,Jr,"Evergreen Park, Ill.",Evergreen Park,IL,domestic,Evergreen Park,0,https://athletics.aurora.edu/sports/womens-bowling/roster
bw_1cc5fa247189,Viviana,Morales,bowling,2025-26,2025-26,D3,Women,Northern Athletics Collegiate Conference,Aurora,,Bowler,So.,So,"Henderson, Nev.",Henderson,NV,domestic,Basic,0,https://athletics.aurora.edu/sports/womens-bowling/roster
bw_e01eec38a43a,Christine,Ricci,bowling,2025-26,2025-26,D3,Women,Northern Athletics Collegiate Conference,Aurora,,Bowler,Jr.,Jr,"Tonica, Ill.",Tonica,IL,domestic,LaSalle-Peru,0,https://athletics.aurora.edu/sports/womens-bowling/roster
bw_902d343bc054,Annemarie,Ruzevich,bowling,2025-26,2025-26,D3,Women,Northern Athletics Collegiate Conference,Aurora,,Bowler,Sr.,Sr,"Rockford, Ill.",Rockford,IL,domestic,Boylan Catholic,0,https://athletics.aurora.edu/sports/womens-bowling/roster
bw_a862b6eff802,Samantha,Wiertelak,bowling,2025-26,2025-26,D3,Women,Northern Athletics Collegiate Conference,Aurora,,Bowler,Fr.,Fr,"Aurora, Ill.",Aurora,IL,domestic,Waubonsie Valley,0,https://athletics.aurora.edu/sports/womens-bowling/roster
bw_1a28651dbf71,Claire,Young,bowling,2025-26,2025-26,D3,Women,Northern Athletics Collegiate Conference,Aurora,,Bowler,Fr.,Fr,"Woodridge, Ill.",Woodridge,IL,domestic,Lemont,0,https://athletics.aurora.edu/sports/womens-bowling/roster
bw_334e05204880,Canan,Bademci,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,Sr.,Sr,"Patchogue, N.Y.",Patchogue,NY,domestic,Patchogue-Medford,0,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
bw_9bf05ae4827a,Mariah,Bell,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,Sr.,Sr,"Grand Prairie, Texas",Grand Prairie,TX,domestic,Grand Prairie/Wichita State,0,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
bw_82944f8bf4fe,Jolie,Boudreaux,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,Jr.,Jr,"Morgan City, La.",Morgan City,LA,domestic,Central Catholic,0,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
bw_889983a85f74,Jazmin,Brooks,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,Fr.,Fr,"Jacksonville, N.C.",Jacksonville,NC,domestic,Northside,0,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
bw_ff9898095e2d,Jessalyn,Bunse,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,Jr.,Jr,"Medford, N.Y.",Medford,NY,domestic,Patchogue-Medford,0,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
bw_ed095df5e5bc,Mackenzie,Cairco,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,Sr.,Sr,"Fort Mill, S.C.",Fort Mill,SC,domestic,Catawba Ridge,0,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
bw_8b8988cc3bde,Asah,Glover,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,Sr.,Sr,"Charlotte, N.C.",Charlotte,NC,domestic,Harper Middle College HS,0,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
bw_5f321ec2cbd6,Emily,Holian,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,So.,So,"Lee, Mass.",Lee,MA,domestic,Lee,0,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
